"","PWS.name","Stage","Restrictions","Month","Population.2015","Conservation.Standard","Total.monthly.2015.g","Total.monthly.2013.g","GPCD.calculated.monthly.state","pct.residential","hydrologic.region"
"1","Adelanto City of","3","Yes","15-Dec",33084,"0.2",89223000,95166000,63.9,74,"South Lahontan"
"2","Adelanto City of","3","Yes","15-Nov",33084,"0.2",98693000,102092000,73.1,74,"South Lahontan"
"3","Adelanto City of","3","Yes","15-Oct",28723,"0.2",106492000,130818000,87.9,74,"South Lahontan"
"4","Adelanto City of","3","Yes","15-Sep",28723,"0.2",116529440,142449000,97.4,72,"South Lahontan"
"5","Adelanto City of","Stage 3","Yes","15-Aug",28723,"0.2",120381570,151445000,101.4,75,"South Lahontan"
"6","Adelanto City of","Stage 3","Yes","15-Jul",28723,"0.2",129551500,154254000,102.7,71,"South Lahontan"
"7","Adelanto City of","3","Yes","15-Jun",28723,"0.2",137383030,142449000,114.8,72,"South Lahontan"
"8","Adelanto City of","3","Yes","15-May",32543,"NULL",120200000,135840000,85.8,72,"South Lahontan"
"9","Adelanto City of","","","15-Apr",32543,"NULL",111180000,115167040,85.5,75,"South Lahontan"
"10","Adelanto City of","","No","15-Mar",32543,"NULL",94539000,98373000,72.9,78,"South Lahontan"
"11","Adelanto City of","","","15-Feb",32543,"NULL",70019000,82723000,57.2,74,"South Lahontan"
"12","Adelanto City of","","","15-Jan",32543,"NULL",84271000,96009000,65.5,78,"South Lahontan"
"13","Alameda County Water District","Stage 2","Yes","15-Dec",346000,"0.16",8.22e+08,1.039e+09,52.1,68,"San Francisco Bay"
"14","Alameda County Water District","Stage 2","Yes","15-Nov",346000,"0.16",8.64e+08,1.161e+09,55.8,67,"San Francisco Bay"
"15","Alameda County Water District","Stage 2","Yes","15-Oct",346000,"0.16",1.079e+09,1.445e+09,68.4,68,"San Francisco Bay"
"16","Alameda County Water District","Stage 2","Yes","15-Sep",346000,"0.16",1.131e+09,1.548e+09,74.1,68,"San Francisco Bay"
"17","Alameda County Water District","Stage 2","Yes","15-Aug",346000,"0.16",1.159e+09,1.742e+09,74.6,69,"San Francisco Bay"
"18","Alameda County Water District","Stage 2","Yes","15-Jul",346000,"0.16",1.147e+09,1.798e+09,75.9,71,"San Francisco Bay"
"19","Alameda County Water District","Stage 2","Yes","15-Jun",344000,"0.16",1.068e+09,1.677e+09,73.5,71,"San Francisco Bay"
"20","Alameda County Water District","Stage 2","Yes","15-May",344000,"NULL",1013700000,1.312e+09,67.5,71,"San Francisco Bay"
"21","Alameda County Water District","Stage 2","Yes","15-Apr",340000,"NULL",9.57e+08,1.296e+09,68.5,73,"San Francisco Bay"
"22","Alameda County Water District","Stage 2","Yes","15-Mar",340000,"NULL",9.61e+08,1.116e+09,63.8,70,"San Francisco Bay"
"23","Alameda County Water District","Stage 2","Yes","15-Feb",340000,"NULL",795200000,901600000,61,73,"San Francisco Bay"
"24","Alameda County Water District","Stage 2","Yes","15-Jan",340000,"NULL",858700000,905200000,58.7,72,"San Francisco Bay"
"25","Alco Water Service","3","Yes","15-Dec",29179,"0.24",77352000,106033000,78.5,92,"Central Coast"
"26","Alco Water Service","3","Yes","15-Nov",29179,"0.24",89116000,120526000,88.7,87,"Central Coast"
