"","PWS.name","mean.pop.2015","tot.use.2015","tot.use.2013","mean.res.2015","res.use.2015","tot.use.2015.pc","res.use.2015.pc","tot.use.2015.gpcd","res.use.2015.gpcd"
"1","Adelanto City of",31041.5,1278462540,1446785040,0.740833333333333,947127665.05,41185.5915468002,30511.6590709212,112.837237114521,83.5935864956745
"2","Alameda County Water District",343666.666666667,11855600000,15940800000,0.700833333333333,8308799666.66667,34497.3811833172,24176.9146459748,94.5133731049785,66.2381223177391
"3","Alco Water Service",29179,1221396000,1495806000,0.8725,1065668010,41858.7340210425,36521.7454333596,114.681463071349,100.059576529752
"4","Alhambra  City of",85068,2959281649,3693467271,0.983333333333333,2909960288.18333,34787.2484247896,34207.4609510431,95.3075299309303,93.7190710987482
"5","Amador Water Agency",23347,877060000,1216110000,0.574166666666667,503578616.666667,37566.2826059023,21569.3072628889,102.921322207951,59.0939925010654
"6","American Canyon, City of",20080,950182760,1217055081,0.544166666666667,517057785.233333,47319.858565737,25749.8897028552,129.643448125307,70.5476430215212
"7","Anaheim  City of",359478.25,18058686085,21602320352,0.571666666666667,10323548878.5917,50235.8239615331,28718.1460313431,137.632394415159,78.6798521406661
"8","Antioch  City of",107530.083333333,4491416000,6165632000,0.72,3233819520,41768.9251302542,30073.6260937831,114.435411315765,82.3934961473508
"9","Apple Valley Ranchos Water Company",62602,3122319457,4002574628,0.684166666666667,2136186895.16417,49875.7141465129,34123.3010952392,136.645792182227,93.4884961513404
"10","Arcadia  City of",57394.5,4379892853,5698088958,0.699166666666667,3062275086.38917,76312.0656683132,53354.8525797623,209.074152515926,146.177678300719
"11","Arcata  City of",18412.5,632504000,671868000,0.510833333333333,323104126.666667,34351.8805159538,17548.0856302331,94.1147411395996,48.0769469321454
"12","Arroyo Grande  City of",17081.6666666667,729581345,1035783930,0.8,583665076,42711.367645624,34169.0941164992,117.017445604449,93.6139564835594
"13","Arvin Community Services District",20364.25,693596000,972560000,0.755833333333333,524242976.666667,34059.4915108585,25743.2990002905,93.313675372215,70.5295863021659
"14","Atascadero Mutual Water Company",31101,1427280000,2015140000,0.740833333333333,1057376600,45891.771968747,33998.1544001801,125.730882106156,93.145628493644
"15","Azusa  City of",110000,5554730056,6845810867,0.54,2999554230.24,50497.5459636364,27268.6748203636,138.349440996264,74.7086981379826
"16","Bakersfield  City of",142521.25,11014321371,14684731762,0.744166666666667,8196490820.2525,77281.9588026347,57510.6576756273,211.731393979821,157.56344568665
"17","Bakman Water Company",15125,1024517771,1371708134,0.88,901575638.48,67736.7121322314,59608.3066763636,185.58003323899,163.310429250311
"18","Banning  City of",30325,2138562915,2856739461,0.56,1197595232.4,70521.4481450948,39492.0109612531,193.209446972862,108.197290304803
"19","Beaumont-Cherry Valley Water District",42921.5,3355468104,4180527176,0.665,2231386289.16,78176.8601749706,51987.6120163554,214.183178561563,142.43181374344
"20","Bella Vista Water District",17339.25,2231104720,4505547683,0.595,1327507308.4,128673.657741829,76560.826356388,352.530569155695,209.755688647638
"21","Bellflower-Somerset Mutual Water Company",46300,1521840211,1794608162,0.86,1308782581.46,32869.1190280778,28267.4423641469,90.0523808988432,77.4450475730051
"22","Benicia  City of",28086,1365121968,2111223980,0.54,737165862.72,48605.0690023499,26246.737261269,133.164572609178,71.9088692089561
"23","Beverly Hills  City of",42927.5,3399216917,3944985471,0.69,2345459672.73,79185.0659134587,54637.6954802865,216.945386064271,149.692316384347
"24","Big Bear City Community Services District",12411.1666666667,306264498,358534326,0.9375,287122966.875,24676.5276968322,23134.2447157801,67.6069251968004,63.3814923720004
"25","Blythe  City of",13839,949550000,1091630000,0.600833333333333,570521291.666667,68614.0617096611,41225.6154105547,187.9837307114,112.946891535766
"26","Brawley  City of",27743,1538790000,2785720000,0.734166666666667,1129728325,55465.8832858739,40721.2026457124,151.961324070887,111.564938755377
"27","Brea  City of",43017.6666666667,3091629463,3733256989,0.460833333333333,1424725910.86583,71868.8320999899,33119.553459412,196.900909862986,90.7385026285261
"28","Brentwood  City of",56055,2639313000,4010690000,0.7425,1959689902.5,47084.3457318705,34960.1267059138,128.998207484577,95.7811690572982
"29","Buena Park  City of",82625.0833333333,4014359242,5005403771,0.59,2368471952.78,48585.2368318338,28665.2897307819,133.110237895435,78.5350403583066
"30","Burbank  City of",106084,4901522336,6247940431,0.7075,3467827052.72,46204.1621356661,32689.4447109838,126.586745577167,89.5601224958459
"31","Burlingame  City of",30282,1169335873,1560936186,0.601666666666667,703550416.921667,38614.882537481,23233.2876600511,105.794198732825,63.6528429042495
"32","Calaveras County Water District",37376.6666666667,1348765000,1890004000,0.595833333333333,803639145.833333,36085.7486845626,21501.0919245519,98.8650648892125,58.9071011631558
"33","California-American Water Company Los Angeles District",102889,5595312158,7298619032,0.794166666666667,4443610405.47833,54382.0248811826,43188.3914264725,148.991848989541,118.324360072528
"34","California-American Water Company Monterey District",100623,3265581987,3894419847,0.68,2220595751.16,32453.6337318506,22068.4709376584,88.9140650187687,60.4615642127627
"35","California-American Water Company Sacramento District",201418,7916619071,11860183831,0.781666666666667,6188157240.49833,39304.4269677983,30722.9604131623,107.683361555612,84.1724942826366
