Code,District,"TOTAL Supply (2010, Af)","Local Groundwater (2010, AF)","Local Surface Water (2010, AF)","Local Desalination (2010, AF)","Local Recycled (2010, AF)","SFRW (2010, AF)","SWP (2010, AF)","Vallejo Permit (2010, AF)","Vallejo Treated (2010, AF)","Napa Treated (2010, AF)","TOTAL USE (2010, AF)","Residential (2010, AF)","Commercial (2010, AF)","Industrial (2010, AF)","Landscape (2010, AF)","Ag (2010, AF)","Institutional (2010, AF)",# Rebate Programs,,,,,
1,"Adelanto, City of",4866,4866,0,0,0,0,0,0,0,0,4866,3202,483,272,3,0,0,4,,,,,
2,Alameda County Flood Control District- Zone 7,,,,,,,,,,,,,,,,,,,,,,,
3,Alameda County Water District,64200,30800,3600,0,0,11700,18100,0,0,0,42900,29100,4700,2500,4800,0,1800,5,,,,,
4,"Alhambra, City of",,,,,,,,,,,,,,,,,,,,,,,
5,Amador Water Agency,16446,296,16150,0,0,0,0,0,0,0,3115,1937,1088,89,0,0,0,6,,,,,
6,"American Canyon, City of",3097,0,0,0,73,0,2185,500,33,306,2859,1590,409,383,397,33,36,2,,,,,
7,"Anaheim, City of",,,,,,,,,,,,,,,,,,,,,,,
8,Antelope Valley_East Kern Water Agency,,,,,,,,,,,,,,,,,,,,,,,
9,"Antioch, City of",,,,,,,,,,,,,,,,,,,,,,,
10,Apple Valley Ranchos Water Company,,,,,,,,,,,,,,,,,,,,,,,
11,"Arcadia, City of",,,,,,,,,,,,,,,,,,,,,,,
12,"Arcata, City of",,,,,,,,,,,,,,,,,,,,,,,
13,"Arroyo Grande, City of",,,,,,,,,,,,,,,,,,,,,,,
14,Arvin Community Services District,,,,,,,,,,,,,,,,,,,,,,,
15,"Azusa, City of",,,,,,,,,,,,,,,,,,,,,,,
16,"Bakersfield, City of",,,,,,,,,,,,,,,,,,,,,,,
17,Bakman Water Company,,,,,,,,,,,,,,,,,,,,,,,
18,"Banning, City of",,,,,,,,,,,,,,,,,,,,,,,
19,Bear Valley Community Services District,,,,,,,,,,,,,,,,,,,,,,,
20,Beaumont-Cherry Valley Water District,,,,,,,,,,,,,,,,,,,,,,,
21,Bella Vista Water District,,,,,,,,,,,,,,,,,,,,,,,
22,Bellflower-Somerset Mutual Water Company,,,,,,,,,,,,,,,,,,,,,,,
23,"Benecia, City of",,,,,,,,,,,,,,,,,,,,,,,
24,"Beverly Hills, City of",,,,,,,,,,,,,,,,,,,,,,,
25,Big Bear Community Services District,,,,,,,,,,,,,,,,,,,,,,,
26,"Big Bear Lake, City of",,,,,,,,,,,,,,,,,,,,,,,
27,"Blythe, City of",,,,,,,,,,,,,,,,,,,,,,,
28,"Brawley, City of",,,,,,,,,,,,,,,,,,,,,,,
29,"Brea, City of",,,,,,,,,,,,,,,,,,,,,,,
30,"Brentwood,City of",,,,,,,,,,,,,,,,,,,,,,,
31,"Buena Park, City of",,,,,,,,,,,,,,,,,,,,,,,
32,"Burbank, City of",,,,,,,,,,,,,,,,,,,,,,,
33,"Burlingame, City of",,,,,,,,,,,,,,,,,,,,,,,
34,CA-American Water - Los Angeles,,,,,,,,,,,,,,,,,,,,,,,
35,CA-American Water - Monterey District,,,,,,,,,,,,,,,,,,,,,,,
36,CA-American Water - Sacramento,,,,,,,,,,,,,,,,,,,,,,,
37,CA-American Water - San Diego,,,,,,,,,,,,,,,,,,,,,,,
38,CA-American Water - Ventura,,,,,,,,,,,,,,,,,,,,,,,
39,CA Water Sercice Co - Stockton,,,,,,,,,,,,,,,,,,,,,,,
40,CA Water Service Co - Antelope Valley,,,,,,,,,,,,,,,,,,,,,,,
41,CA Water Service Co - Bakersfield,,,,,,,,,,,,,,,,,,,,,,,
42,CA Water Service Co - Bear Gulch,,,,,,,,,,,,,,,,,,,,,,,
43,CA Water Service Co - Chico Hamilton City District,,,,,,,,,,,,,,,,,,,,,,,
44,CA Water Service Co - Dixon District,,,,,,,,,,,,,,,,,,,,,,,
45,CA Water Service Co - Dominguez District,,,,,,,,,,,,,,,,,,,,,,,
46,CA Water Service Co - East Los Angeles District,,,,,,,,,,,,,,,,,,,,,,,
47,CA Water Service Co - Hermosa Redondo District,,,,,,,,,,,,,,,,,,,,,,,
48,CA Water Service Co - Kern River Vly,,,,,,,,,,,,,,,,,,,,,,,
49,CA Water Service Co - King City,,,,,,,,,,,,,,,,,,,,,,,
50,CA Water Service Co - Livermore,,,,,,,,,,,,,,,,,,,,,,,
