"","pwsid","district","severity","simpson","ground","surf","imported","recycled","desal","tot.source","propground","propsurf","propdesal","proprecyc","propimport","medinc","buyertier","sellertier","buyers","sellers","region","region2","PWS.name.2015","mean.pop.2015","tot.use.2015","tot.use.2013","tot.use.2015.gpcd","Population.2010","tot.use.2010","tot.use.2010.gpcd","change.tot","percent.change.tot","change.tot.gpcd","percent.change.tot.gpcd","hydrologic.region","nested","J_D_percent.change.tot","cons.st","cons.st.diff","cons.st.dummy"
"1",110001,"Alameda County Water District",153.26285,0.552571307,1,1,2,0,1,5,0.479750779,0.03894081,0.017133956,0,0.464174455,93.792,0,1,0,2,"North","North","Alameda County Water District",343666.666666667,11855600000,15940800000,94.5133731049785,337562,15347582100,124.564287855227,-3491982100,-22.7526530058438,-30.0509147502489,-24.1248236293656,"San Francisco Bay",1,-0.29246084263898,-0.16,0.13246084263898,1
"2",110003,"CA Water Service Co - Livermore",159.4417,0.41997654,1,0,1,0,0,2,0.299970677,0,0,0,0.700029323,100,0,2,0,1,"North","North","California Water Service Company Livermore",58097.4166666667,2223968576,3725980731,104.876687146689,56956,3197250012,153.795720801542,-973281436,-30.4412051715398,-48.9190336548528,-31.8077989425844,"San Francisco Bay",1,-0.399399891597951,-0.24,0.159399891597951,1
"3",110005,"East Bay Municipal Utility District",132.5257333,0.280532723,0,1,0,1,0,2,0,0.831260681,0,0.168739319,0,69.2675,NA,NA,NA,NA,"North","North","East Bay Municipal Utilities District",1390000,54335500000,69353200000,107.096678821327,1417000,78839975301,152.434673487302,-24504475301,-31.0812823157863,-45.3379946659754,-29.7425734111289,"San Francisco Bay",0,-0.255807372632742,-0.16,0.095807372632742,1
"4",110006,"Hayward, City of",159.4417,0,0,0,1,0,0,1,0,0,0,0,1,63.167,0,1,0,1,"North","North","Hayward  City of",151963,4697425870,5750273080,84.6894304390425,153000,5349495867,95.7918500671502,-652069997,-12.1893728532906,-11.1024196281076,-11.5901505402859,"San Francisco Bay",1,-0.222858993549074,-0.08,0.142858993549074,1
"5",110008,"Pleasanton, City of",159.4417,0.339553003,1,0,1,0,0,2,0.21676247,0,0,0,0.78323753,126.696,0,2,0,1,"North","North","Pleasanton  City of",73067,3689600000,5914710000,138.345534245075,69300,4903731699,193.865531993121,-1214131699,-24.7593419364194,-55.5199977480455,-28.6384057945977,"San Francisco Bay",1,-0.400477544417929,-0.24,0.160477544417929,1
"6",110009,"Dublin San Ramon Service District",159.4417,0.264384301,0,0,1,1,0,2,0,0,0,0.156768519,0.843231481,123.6435,0,2,0,1,"North","North","Dublin San Ramon Services District",79001.75,2411917000,3696788000,83.6436127151856,67967,3279690315,132.203170918361,-867773315,-26.4590016633933,-48.559558203175,-36.7310086935524,"San Francisco Bay",1,-0.384134348571252,-0.12,0.264134348571252,1
"7",110011,"Livermore, City of",159.4417,0.292260449,0,0,1,1,0,2,0,0,0,0.177663602,0.822065982,104.564,0,2,0,1,"North","North","Livermore  City of Division of Water Resources",27218,1484459000,2193104000,149.423578473955,31994,1698335412,145.432697740415,-213876412,-12.5932963823756,3.99088073353974,2.74414268286703,"San Francisco Bay",1,-0.337548305076235,-0.2,0.137548305076235,1
"8",410002,"CA Water Service Co - Chico Hamilton City District",161.09475,0,1,0,0,0,0,1,1,0,0,0,0,40.938,NA,NA,NA,NA,"North","Central Valley","California Water Service Company Chico District",102139,5927432968,8943187923,158.994530767701,102840,7965753546,212.212974696696,-2038320578,-25.5885468490742,-53.2184439289952,-25.0778464441476,"Sacramento River",0,-0.380792342644721,-0.32,0.0607923426447211,1
"9",410005,"CA Water Service Co - Oroville",187.927,0.365556555,1,0,2,0,0,3,0.240728477,0,0,0,0.759271523,36.577,0,1,0,2,"North","Central Valley","California Water Service Company Oroville",10680.4166666667,756887695,1077004136,194.155807074464,9920,835807815,230.83512345338,-78920120,-9.44237641520497,-36.6793163789168,-15.8898333278664,"Sacramento River",1,-0.275149810490844,-0.28,-0.00485018950915617,0
"10",410007,"Paradise Irrigation District",175.95875,0.002298671,1,1,0,0,0,2,0.00115066,0.99884934,0,0,0,40.536,NA,NA,NA,NA,"North","Central Valley","Paradise Irrigation District",26032,1.477e+09,2.154e+09,155.446194778187,26032,2049276939,215.67522153977,-572276939,-27.9257980270474,-60.2290267615832,-27.9257980270474,"Sacramento River",0,-0.306985465696162,-0.36,-0.0530145343038376,0
