"","sp.pwsid","sp.name","dat.pwsid","dat.name"
"1","0110001","ALAMEDA COUNTY WATER DISTRICT","0110001","Alameda County Water District"
"2","0110003","CALIFORNIA WATER SERVICE - LIVERMORE","0110003","CA Water Service Co - Livermore"
"3","0110005","EAST BAY MUD","0110005","East Bay Municipal Utility District"
"4","0110006","CITY OF HAYWARD","0110006","Hayward, City of"
"5","0110008","CITY OF PLEASANTON","0110008","Pleasanton, City of"
"6","0110009","DUBLIN SAN RAMON SERVICES DISTRICT","0110009","Dublin San Ramon Service District"
"7","0110010","ZONE 7 WATER AGENCY","0110010","Alameda County Flood Control District- Zone 7"
"8","0110011","CITY OF LIVERMORE","0110011","Livermore, City of"
"9","0410002","CAL-WATER SERVICE CO.-CHICO","0410002","CA Water Service Co - Chico Hamilton City District"
"10","0410005","CAL-WATER SERVICE CO.-OROVILLE","0410005","CA Water Service Co - Oroville"
"11","0410006","SFWP-MINERS RANCH","0410006","South Feather Water & Power"
"12","0410007","PARADISE IRRIGATION DISTRICT","0410007","Paradise Irrigation District"
"13","0710001","CITY OF ANTIOCH","0710001","Antioch, City of"
"14","0710002","GOLDEN STATE WATER COMPANY - BAY POINT","0710002","Golden State Water Company - Bay Point"
"15","0710003","CONTRA COSTA WATER DISTRICT","0710003","Contra Costa Water District"
"16","0710004","CITY OF BRENTWOOD","0710004","Brentwood,City of"
"17","0710006","CITY OF MARTINEZ","0710006","Martinez, City of"
"18","0710007","DIABLO WATER DISTRICT","0710007","Diablo Water District"
"19","0710008","CITY OF PITTSBURG","0710008","Pittsburg, City of"
"20","0810001","CITY OF CRESCENT CITY","0810001","Crescent City, City of"
"21","0910001","EL DORADO ID - MAIN","0910001","El Dorado Irrigation District"
"22","0910002","SOUTH TAHOE PUD - MAIN","0910002","South Tahoe Public Utility District"
"23","0910013","GEORGETOWN DIVIDE PUD","0910013","Georgetown Divide Public Utility District"
"24","1010001","BAKMAN WATER COMPANY","1010001","Bakman Water Company"
"25","1010003","CLOVIS, CITY OF","1010003","Clovis, City of"
"26","1010007","FRESNO, CITY OF","1010007","Fresno, City of"
"27","1010018","KERMAN, CITY OF","1010018","Kerman, City of"
"28","1010021","MENDOTA, CITY OF","1010021","Park Water Company"
"29","1010024","CWS - SELMA","1010024","CA Water Service Co - Selma"
"30","1010027","REEDLEY, CITY OF","1010027","Reedley, City of"
"31","1110003","CAL-WATER SERVICE CO.-WILLOWS","1110003","CA Water Service Co - Willows"
"32","1210004","EUREKA, CITY OF","1210004","Eureka, City of"
"33","1210006","FORTUNA, CITY OF","1210006","Fortuna, City of"
"34","1210009","HUMBOLDT C.S.D.","1210009","Humboldt Community Services District"
"35","1210013","HUMBOLDT BAY MWD","1210013","Humboldt Bay Municipal WD"
"36","1210016","MCKINLEYVILLE C.S.D.","1210016","McKinleyville Community Services District"
"37","1210021","JACOBY CREEK CSD","1210021","Arcata, City of"
"38","1310001","BRAWLEY, CITY OF","1310001","Brawley, City of"
"39","1310002","CALEXICO, CITY OF","1310002","Calexico, City of"
"40","1310004","EL CENTRO, CITY OF","1310004","El Centro, City of"
"41","1310006","IMPERIAL, CITY OF","1310006","Imperial, City of"
"42","1500333","CWS - FREMONT VALLEY","1500333","CA Water Service Co - Antelope Valley"
"43","1510001","ARVIN COMMUNITY SERVICES DIST","1510001","Arvin Community Services District"
"44","1510003","CWS - BAKERSFIELD","1510003","CA Water Service Co - Bakersfield"
"45","1510005","DELANO, CITY OF","1510005","Delano, City of"
"46","1510006","EAST NILES CSD","1510006","East Niles Community Services District"
"47","1510012","LAMONT PUBLIC UTILITY DIST","1510012","Lamont Public Utility District"
"48","1510015","OILDALE MWC","1510015","Oildale Mutual Water Company"
"49","1510017","INDIAN WELLS VALLEY W.D.","1510017","Indian Wells Valley Water District"
"50","1510018","ROSAMOND CSD","1510018","Rosamond Community Services District"
"51","1510019","SHAFTER, CITY OF","1510019","Shafter, City of"
"52","1510020","TEHACHAPI, CITY OF","1510020","Tehachapi Regional Alliance"
"53","1510021","WASCO, CITY OF","1510021","Wasco, City of"
"54","1510022","WEST KERN WATER DISTRICT","1510022","West Kern Water District"
"55","1510025","STALLION SPRINGS CSD","1510025","Stallion Springs Community Services District"
"56","1510029","VAUGHN WC INC","1510029","Vaughn Water Company"
"57","1510031","BAKERSFIELD, CITY OF","1510031","Bakersfield, City of"
