ID,District Name,Number of  Tier of Buyers below this district,Number of  Tier of Seller above this district,Number of Buyer in the first tier,Number of Seller in the first tier
110010,Alameda County Flood Control District- Zone 7 ,1,1,4,2
110001,Alameda County Water District ,0,1,0,2
2810005,"American Canyon, City of ",0,2,0,3
3010001,"Anaheim, City of ",0,2,0,1
1510053,Antelope Valley East Kern Water Agency ,1,1,3,1
710001,"Antioch, City of ",0,2,0,1
1910003,"Arcadia, City of ",0,2,0,1
1210021,"Arcata, City of ",0,1,0,1
1510031,"Bakersfield, City of ",0,3,0,2
3310002,Beaumont-Cherry Valley Water District ,0,2,0,1
4510014,Bella Vista Water District ,0,3,0,2
4810001,"Benecia, City of ",0,2,0,3
1910156,"Beverly Hills, City of ",0,2,0,1
3610045,"Big Bear Lake, City of ",0,2,0,1
1310001,"Brawley, City of ",0,1,0,1
3010002,"Brea, City of ",0,3,0,2
710004,"Brentwood,City of ",0,2,0,1
3010003,"Buena Park, City of ",0,3,0,1
NA,Buena Vista Water Storage District ,3,0,2,0
1910179,"Burbank, City of ",0,2,0,1
NA,Byron-Bethany Irrigation District ,2,0,1,0
3910001,CA Water Sercice Co - Stockton ,0,2,0,1
1500333,CA Water Service Co - Antelope Valley ,0,2,0,1
1510003,CA Water Service Co - Bakersfield ,1,2,1,1
4110006,CA Water Service Co - Bear Gulch ,0,1,0,1
1910033,CA Water Service Co - Dominguez District ,0,3,0,1
1910036,CA Water Service Co - East Los Angeles District ,0,3,0,1
1910134,CA Water Service Co - Hermosa Redondo District ,0,3,0,1
110003,CA Water Service Co - Livermore ,0,2,0,1
4310001,Ca Water Service Co - Los Altos Suburban District ,0,2,0,1
4110008,CA Water Service Co - Mid Peninsula District ,0,1,0,1
410005,CA Water Service Co - Oroville ,0,1,0,2
1910104,CA Water Service Co - Palos Verdes ,0,3,0,1
4910018,CA Water Service Co - Redwood Valley ,0,1,0,2
4110009,CA Water Service Co - South San Francisco ,0,1,0,1
1910052,CA-American Water - Los Angeles ,0,3,0,3
3410012,CA-American Water - Sacramento ,0,3,0,3
3710001,CA-American Water - San Diego ,0,4,0,1
5610040,CA-American Water - Ventura ,0,3,0,1
510017,Calaveras County Water District ,2,0,1,0
NA,California Domestic Water Company ,1,0,3,0
5610050,Calleguas Municipal Water District ,2,2,8,1
5610019,"Camarillo, City of ",0,3,0,1
5610063,Camrosa Water District ,0,3,0,1
3710005,Carlsbad Municipal Water District ,0,3,0,1
4210001,Carpenteria Valley Water District ,0,1,0,2
5610024,Casitas Municipal Water District ,1,0,2,0
1910048,Castaic Lake Water Agency ,2,1,2,3
1910017,Castaic Lake Water Agency Santa Clarita Water Division ,1,2,1,1
1910253,Central Basin Municipal Water District ,2,2,14,1
NA,Central Coast Water Authority ,1,1,3,1
NA,Central Valley Project ,2,0,7,0
1910019,"Cerritos, City of ",1,3,1,1
3310083,Chino Basin Desalter Authority City of ,5,0,5,0
3610036,"Chino Hills, City of ",0,6,0,3
3610012,"Chino, City of ",0,3,0,2
3410006,Citrus Heights Water District ,0,3,0,1
1010003,"Clovis, City of ",0,1,0,1
4110011,Coastside Co Water District ,0,1,0,1
NA,Colorado River Aqueduct ,6,0,1,0
3610014,"Colton, City of ",0,2,0,1
1910026,"Compton, City of ",0,2,0,1
710003,Contra Costa Water District ,1,1,6,2
3310037,"Corona, City of ",0,4,0,1
1910128,Covina Irrigating Company ,1,0,3,0
1910028,Crescenta Valley Water District ,0,3,0,1
NA,Cresline-Lake Arrowhead Water Agency ,1,1,2,1
3610015,Crestline Village Water District ,0,2,0,1
3610018,Cucamonga Valley Water District ,0,3,0,1
4110013,"Daly City, City of ",0,1,0,1
3310005,Desert Water Agency ,0,1,0,1
