"pwsname","pwsid","severity"
"Alameda County Water District",110001,146.8828
"CA Water Service Co - Livermore",110003,151.6393
"East Bay Municipal Utility District",110005,127.1306
"Hayward, City of",110006,151.6393
"Pleasanton, City of",110008,151.6393
"Dublin San Ramon Service District",110009,151.6393
"Alameda County Flood Control District- Zone 7",110010,155.730133333333
"Livermore, City of",110011,151.6393
"CA Water Service Co - Chico Hamilton City District",410002,150.53705
"CA Water Service Co - Oroville",410005,173.927
"South Feather Water & Power",410006,170.746633333333
"Paradise Irrigation District",410007,164.31655
"Antioch, City of",710001,151.134
"Golden State Water Company - Bay Point",710002,128.8432
"Contra Costa Water District",710003,151.302433333333
"Brentwood,City of",710004,173.4248
"Martinez, City of",710006,128.8432
"Diablo Water District",710007,173.4248
"Pittsburg, City of",710008,151.134
"Crescent City, City of",810001,-70.5386
"El Dorado Irrigation District",910001,168.649566666667
"South Tahoe Public Utility District",910002,177.0057
"Georgetown Divide Public Utility District",910013,161.3959
"Bakman Water Company",1010001,203.0267
"Clovis, City of",1010003,203.0267
"Fresno, City of",1010007,202.7658
"Kerman, City of",1010018,203.0267
"Park Water Company",1010021,202.7658
"CA Water Service Co - Selma",1010024,203.0267
"Reedley, City of",1010027,203.0267
"CA Water Service Co - Willows",1110003,145.5749
"Eureka, City of",1210004,65.8138
"Fortuna, City of",1210006,80.7155
"Humboldt Community Services District",1210009,65.8138
"Humboldt Bay Municipal WD",1210013,65.8138
"McKinleyville Community Services District",1210016,65.8138
"Arcata, City of",1210021,65.8138
"Brawley, City of",1310001,-12.0242
"Calexico, City of",1310002,-12.0242
"El Centro, City of",1310004,-12.0242
"Imperial, City of",1310006,-12.0242
"CA Water Service Co - Antelope Valley",1500333,134.644
"Arvin Community Services District",1510001,203.0267
"CA Water Service Co - Bakersfield",1510003,203.0267
"Delano, City of",1510005,203.0267
"East Niles Community Services District",1510006,203.0267
"Lamont Public Utility District",1510012,203.0267
"Oildale Mutual Water Company",1510015,203.0267
"Indian Wells Valley Water District",1510017,49.1629
"Rosamond Community Services District",1510018,134.644
"Shafter, City of",1510019,203.0267
"Tehachapi Regional Alliance",1510020,167.4877
"Wasco, City of",1510021,203.0267
"West Kern Water District",1510022,202.218233333333
"Stallion Springs Community Services District",1510025,200.3314
"Vaughn Water Company",1510029,203.0267
"Bakersfield, City of",1510031,203.0267
"North of The River Municipal Water District",1510041,203.0267
"Golden Hills Community Services District",1510045,200.3314
"CA Water Service Co - Kern River Vly",1510049,200.3314
"Antelope Valley_East Kern Water Agency",1510053,123.35078
"Hanford, City of",1610003,203.0267
"Lemoore, City of",1610005,203.0267
"Susanville, City of",1810001,180.3326
"Alhambra, City of",1910001,181.9725
"Arcadia, City of",1910003,180.9289
"Golden State Water Company - Artesia",1910004,179.8853
"Azusa, City of",1910007,179.8853
"Valley County Water District",1910009,179.8853
"Golden State Water Company - Bell-Bell Gardens",1910011,181.9725
"Bellflower-Somerset Mutual Water Company",1910013,179.8853
"Castaic Lake Water Agency Santa Clarita Water Division",1910017,186.7674
