pwsid,pwsname,Region_2
0110001,Alameda County Water District,North
0110003,CA Water Service Co - Livermore,North
0110005,East Bay Municipal Utility District,North
0110006,"Hayward, City of",North
0110008,"Pleasanton, City of",North
0110009,Dublin San Ramon Service District,North
0110010,Alameda County Flood Control District- Zone 7,North
0110011,"Livermore, City of",North
0410002,CA Water Service Co - Chico Hamilton City District,Central Valley
0410005,CA Water Service Co - Oroville,Central Valley
0410007,Paradise Irrigation District,Central Valley
0710001,"Antioch, City of",North
0710002,Golden State Water Company - Bay Point,North
0710003,Contra Costa Water District,North
0710004,"Brentwood,City of",North
0710006,"Martinez, City of",North
0710007,Diablo Water District,North
0710008,"Pittsburg, City of",North
0810001,"Crescent City, City of",North
0910001,El Dorado Irrigation District,Central Valley
0910002,South Tahoe Public Utility District,Central Valley
0910013,Georgetown Divide Public Utility District,Central Valley
1010001,Bakman Water Company,Central Valley
1010003,"Clovis, City of",Central Valley
1010007,"Fresno, City of",Central Valley
1010018,"Kerman, City of",Central Valley
1010021,Park Water Company,Central Valley
1010024,CA Water Service Co - Selma,Central Valley
1010027,"Reedley, City of",Central Valley
1110003,CA Water Service Co - Willows,Central Valley
1210004,"Eureka, City of",North
1210006,"Fortuna, City of",North
1210009,Humboldt Community Services District,North
1210013,Humboldt Bay Municipal WD,North
1210016,McKinleyville Community Services District,North
1210021,"Arcata, City of",North
1310001,"Brawley, City of",South
1310002,"Calexico, City of",South
1310004,"El Centro, City of",South
1310006,"Imperial, City of",South
1500333,CA Water Service Co - Antelope Valley,South
1510001,Arvin Community Services District,Central Valley
1510003,CA Water Service Co - Bakersfield,Central Valley
1510005,"Delano, City of",Central Valley
1510006,East Niles Community Services District,Central Valley
1510015,Oildale Mutual Water Company,Central Valley
1510017,Indian Wells Valley Water District,South
1510018,Rosamond Community Services District,South
1510019,"Shafter, City of",Central Valley
1510021,"Wasco, City of",Central Valley
1510022,West Kern Water District,Central Valley
1510025,Stallion Springs Community Services District,Central Valley
1510029,Vaughn Water Company,Central Valley
1510031,"Bakersfield, City of",Central Valley
1510041,North of The River Municipal Water District,Central Valley
