"","pwsid","district","severity","simpson","ground","surf","imported","recycled","desal","tot.source","propground","propsurf","propdesal","proprecyc","propbank","propimport","casgem","adj","totgpcd15","rgpcd15","totgpcd10","rgpcd10","changetot","changer","medinc","buyertier","sellertier","buyers","sellers","region"
"1",110001,"Alameda County Water District",153.26285,0.552571307,1,1,2,0,1,5,0.479750779,0.03894081,0.017133956,0,0,0.464174455,"20.25,19.75,14.75","0,0,0",94.47,64.24024687,103,73,-8.28,-12,93.792,0,1,0,2,"North"
"2",110003,"CA Water Service Co - Livermore",159.4417,0.41997654,1,0,1,0,0,2,0.299970677,0,0,0,0,0.700029323,"17.25","0",104.75,82.44199838,124,92,-15.52,-10,100,0,2,0,1,"North"
"3",110005,"East Bay Municipal Utility District",132.5257333,0.280532723,0,1,0,1,0,2,0,0.831260681,0,0.168739319,0,0,"0.0,17.25,14.75,0.0,0.0","0,0,0,0,0",107.1,66.39994087,115,70,-6.87,-5,69.2675,NA,NA,NA,NA,"North"
"4",110006,"Hayward, City of",159.4417,0,0,0,1,0,0,1,0,0,0,0,0,1,"19.75,0.0,14.75","0,0,0",84.67,71.96989207,85,57,-0.39,26,63.167,0,1,0,1,"North"
"5",110008,"Pleasanton, City of",159.4417,0.339553003,1,0,1,0,0,2,0.21676247,0,0,0,0,0.78323753,"0.0,17.25","0,0",138.35,94.35165436,167,99,-17.16,-5,126.696,0,2,0,1,"North"
"6",110009,"Dublin San Ramon Service District",159.4417,0.264384301,0,0,1,1,0,2,0,0,0,0.156768519,0,0.843231481,"17.25","0",83.62,70.90897671,93,63,-10.09,13,123.6435,0,2,0,1,"North"
"8",110011,"Livermore, City of",159.4417,0.292260449,0,0,1,1,0,2,0,0,0,0.177663602,0,0.822065982,"17.25","0",149.47,94.16859799,179,104,-16.49,-9,104.564,0,2,0,1,"North"
"9",410002,"CA Water Service Co - Chico Hamilton City District",161.09475,0,1,0,0,0,0,1,1,0,0,0,0,0,"21.5,22.75","0,0",159,108.1171368,195,138,-18.46,-22,40.938,NA,NA,NA,NA,"North"
"10",410005,"CA Water Service Co - Oroville",187.927,0.365556555,1,0,2,0,0,3,0.240728477,0,0,0,0,0.759271523,"17.5,14.25","0,0",193.79,100.3818837,222,108,-12.71,-7,36.577,0,1,0,2,"North"
"11",410007,"Paradise Irrigation District",175.95875,0.002298671,1,1,0,0,0,2,0.00115066,0.99884934,0,0,0,0,"","",155.45,135.7667065,190,165,-18.19,-18,40.536,NA,NA,NA,NA,"North"
"12",710001,"Antioch, City of",160.5808,0.434669257,0,2,1,0,0,3,0,0.307686338,0,0,0,0.692313662,"0.0,19.0","0,0",114.39,82.35787953,132,77,-13.34,7,69.291,0,2,0,1,"North"
"13",710002,"Golden State Water Company - Bay Point",135.3593,0.19165974,1,0,1,0,0,2,0.107305936,0,0,0,0,0.892237443,"0","0",65.56,55.20312223,70,57,-6.34,-3,49.335,0,2,0,1,"North"
"14",710003,"Contra Costa Water District",160.2011,0.271679152,1,3,2,1,0,7,0.014492754,0.094202899,0,0.041062802,0,0.850241546,"0.0,0.0,0.0,0.0,19.0","0,0,0,0,0",105.82,78.62535727,111,82,-4.67,-4,75.377,1,1,6,2,"North"
"15",710004,"Brentwood,City of",185.8023,0.649469413,1,1,1,1,0,4,0.300469484,0.444444444,0,0.004694836,0,0.250391236,"19","0",128.8,99.75842211,156,114,-17.43,-12,90.042,0,2,0,1,"North"
"16",710006,"Martinez, City of",135.3593,0.003173336,1,0,1,0,0,2,0.001589193,0,0,0,0,0.998410807,"0.0,0.0","0,0",80.84,51.74018922,80,37,1.06,40,75.735,0,2,0,1,"North"
"17",710007,"Diablo Water District",185.8023,0.194684457,1,0,1,0,0,2,0.109297148,0,0,0,0,0.890808863,"19","0",105.26,85.25692195,119,96,-11.55,-11,78.0735,0,2,0,1,"North"
"18",710008,"Pittsburg, City of",160.5808,0.283807282,1,0,1,1,0,3,0.113658275,0,0,0.049169791,0,0.837171934,"0.0,19.0","0,0",113.28,80.42874893,126,92,-10.1,-13,57.375,0,2,0,1,"North"
"19",810001,"Crescent City, City of",-82.7502,0,1,0,0,0,0,1,1,0,0,0,0,0,"0","0",99.01,62.18123646,105,66,-5.7,-6,43.281,NA,NA,NA,NA,"North"
"20",910001,"El Dorado Irrigation District",182.1619667,0.770633098,0,4,1,1,0,6,0,0.848678032,0,0.043885363,0,0.107436605,"22.25","0",203.4,138.3153503,298,169,-31.74,-18,70.655,0,1,0,1,"North"
"21",910002,"South Tahoe Public Utility District",190.8314,0,1,0,0,0,0,1,1,0,0,0,0,0,"0","0",140.83,59.15004806,182,98,-22.62,-40,47.4465,NA,NA,NA,NA,"North"
"22",910013,"Georgetown Divide Public Utility District",173.2804,0,0,1,0,0,0,1,0,1,0,0,0,0,"","",133.81,113.7351854,167,142,-19.88,-20,74.75,NA,NA,NA,NA,"North"
"23",1010001,"Bakman Water Company",217.0267,0,1,0,0,0,0,1,1,0,0,0,0,0,"22.75","0",187.41,164.9190901,272,240,-31.1,-31,37.5185,NA,NA,NA,NA,"North"
"24",1010003,"Clovis, City of",217.0267,0.648384568,2,1,1,1,0,5,0.483516677,0.470038309,0,0.039310442,0,0.007134573,"22.75","0",164.92,123.2110073,228,165,-27.67,-25,66.917,0,1,0,1,"North"
"25",1010007,"Fresno, City of",216.7658,0.480043556,1,0,2,1,0,4,0.398481421,0,0,0.000545449,0,0.60097313,"22.75,25.0","0,0",190.6,106.7356014,247,145,-22.83,-26,38.4345,0,1,0,2,"North"
"26",1010018,"Kerman, City of",217.0267,0.194947175,1,0,0,1,0,2,0.8905463,0,0,0.1094537,0,0,"22.75","0",163.96,114.7751528,237,166,-30.82,-31,43.1165,NA,NA,NA,NA,"North"
"27",1010021,"Park Water Company",216.7658,0.36716301,1,0,1,1,0,3,0.209894119,0,0,0.023133731,0,0.766972151,"22.5,22.25","0,0",70.22,49.85783771,76,53,-7.6,-6,25.542,0,3,0,1,"North"
"28",1010024,"CA Water Service Co - Selma",217.0267,0,1,0,0,0,0,1,1,0,0,0,0,0,"22.75","0",142.31,109.8636542,195,159,-27.02,-31,44.663,NA,NA,NA,NA,"North"
"30",1110003,"CA Water Service Co - Willows",155.651,0,1,0,0,0,0,1,1,0,0,0,0,0,"19.75","0",130.88,91.22204362,175,131,-25.21,-30,47.005,NA,NA,NA,NA,"North"
"31",1210004,"Eureka, City of",56.4078,0,0,0,1,0,0,1,0,0,0,0,0,1,"0","0",101.96,59.1394677,114,73,-10.56,-19,39.436,1,1,1,1,"North"
"32",1210006,"Fortuna, City of",74.0133,0,1,0,0,0,0,1,1,0,0,0,0,0,"16.25","0",90.52,72.4146501,106,106,-14.61,-32,46.958,NA,NA,NA,NA,"North"
"33",1210009,"Humboldt Community Services District",56.4078,0.454977987,1,0,2,0,0,3,0.349963316,0,0,0,0,0.650036684,"0","0",100.22,60.13371739,110,69,-8.89,-13,51.088,0,2,0,2,"North"
"34",1210013,"Humboldt Bay Municipal WD",56.4078,0,0,1,0,0,0,1,0,1,0,0,0,0,"0","0",984.99,71.01771537,983,79,0.2,-10,33.162,2,0,4,0,"North"
"35",1210016,"McKinleyville Community Services District",56.4078,0,0,0,1,0,0,1,0,0,0,0,0,1,"0.0,0.0","0,0",70.35,61.20647807,83,59,-15.24,4,48.086,0,1,0,1,"North"
"36",1210021,"Arcata, City of",56.4078,0.29881802,1,0,1,0,0,2,0.182839173,0,0,0,0,0.817160827,"0","0",94.08,47.98123431,106,43,-11.24,12,59.6875,0,1,0,1,"North"
"37",1310001,"Brawley, City of",-13.9743,0,0,0,1,0,0,1,0,0,0,0,0,1,"0","0",151.96,124.0004404,212,115,-28.32,8,42.273,0,1,0,1,"South"
"39",1310004,"El Centro, City of",-13.9743,0,0,0,1,0,0,1,0,0,0,0,0,1,"0","0",144.72,101.3044988,171,120,-15.37,-16,33.912,0,1,0,1,"South"
"40",1310006,"Imperial, City of",-13.9743,0,0,0,1,0,0,1,0,0,0,0,0,1,"0","0",125.41,96.76286724,145,104,-13.51,-7,55.043,0,1,0,1,"South"
"41",1500333,"CA Water Service Co - Antelope Valley",144.0867,0.283164783,1,0,1,0,0,2,0.828389831,0,0,0,0,0.170550847,"10.75","0",142.31,130.3570607,178,161,-20.05,-19,30.0225,0,2,0,1,"South"
"42",1510001,"Arvin Community Services District",217.0267,0,1,0,0,0,0,1,1,0,0,0,0,0,"22.5","0",93.26,77.40781974,111,97,-15.98,-20,32.24,NA,NA,NA,NA,"North"
"43",1510003,"CA Water Service Co - Bakersfield",217.0267,0.490185083,1,0,2,0,0,3,0.570053254,0,0,0,0,0.429946746,"22.5","0",176.38,123.4692781,220,163,-19.83,-24,38.036,1,2,1,1,"North"
"44",1510005,"Delano, City of",217.0267,0.450140863,1,0,0,1,0,2,0.657891002,0,0,0.342108998,0,0,"22.5","0",136.42,69.57661,165,88,-17.32,-21,42.481,NA,NA,NA,NA,"North"
"45",1510006,"East Niles Community Services District",217.0267,0.488144543,1,0,1,0,0,2,0.423008257,0,0,0,0,0.576991743,"22.5","0",233.08,195.788963,342,192,-31.85,2,41.54,0,2,0,1,"North"
"46",1510015,"Oildale Mutual Water Company",217.0267,0.041357067,1,0,1,0,0,2,0.02112479,0,0,0,0,0.97887521,"22.5","0",216.89,168.286876,277,215,-21.7,-22,37.708,0,3,0,1,"North"
"47",1510017,"Indian Wells Valley Water District",52.08595,0.402723649,1,0,0,1,0,2,0.720540643,0,0,0.279459357,0,0,"19.25,14.75","0,0",173.24,147.4310569,182,153,-4.81,-4,56.6025,NA,NA,NA,NA,"South"
"48",1510018,"Rosamond Community Services District",144.0867,0.174817898,1,0,1,0,0,2,0.903225806,0,0,0,0,0.096774194,"21.5,10.75","0,0",112.62,102.4868044,146,130,-22.86,-21,54.423,0,2,0,1,"South"
"49",1510019,"Shafter, City of",217.0267,0,1,0,0,0,0,1,1,0,0,0,0,0,"22.5","0",202.99,172.537749,260,148,-21.93,17,40.996,NA,NA,NA,NA,"North"
"50",1510021,"Wasco, City of",217.0267,0.407563792,1,0,0,1,0,2,0.714983962,0,0,0.285016038,0,0,"22.5","0",125.66,89.21867667,144,95,-12.74,-6,41.896,NA,NA,NA,NA,"North"
"51",1510022,"West Kern Water District",216.2163333,0,0,0,5,0,0,5,0,0,0,0,0,1,"22.5,0.0","0,0",624.4,68.68409689,734,113,-14.93,-39,43.203,0,2,0,5,"North"
"53",1510029,"Vaughn Water Company",217.0267,0,1,0,0,0,0,1,1,0,0,0,0,0,"22.5","0",287.51,276.0087177,367,353,-21.66,-22,92.5115,NA,NA,NA,NA,"North"
"54",1510031,"Bakersfield, City of",217.0267,0.212914089,1,0,2,0,0,3,0.878870632,0,0,0,0,0.121129368,"22.5","0",211.57,164.6662066,240,176,-11.85,-6,68.75,0,3,0,2,"North"
"57",1510049,"CA Water Service Co - Kern River Vly",214.3257,0.340042178,1,1,0,0,0,2,0.78280543,0.21719457,0,0,0,0,"0","0",109.29,99.67649016,145,129,-24.62,-23,19.211,NA,NA,NA,NA,"North"
"58",1610003,"Hanford, City of",217.0267,0,1,0,0,0,0,1,1,0,0,0,0,0,"22.25,26.5","0,0",181.96,124.3134047,278,136,-34.55,-9,46.875,NA,NA,NA,NA,"North"
"59",1610005,"Lemoore, City of",217.0267,0,0,0,0,0,0,0,0,0,0,0,0,0,"22.25","0",224.93,92.21925633,290,180,-22.44,-49,50.0565,NA,NA,NA,NA,"North"
"60",1810001,"Susanville, City of",191.9662,0.655108253,3,0,0,0,0,3,1,0,0,0,0,0,"0","0",255.07,191.9914666,333,232,-23.4,-17,44.864,NA,NA,NA,NA,"North"
"61",1910001,"Alhambra, City of",195.9725,0,0,0,0,0,0,0,0,0,0,0,0,0,"21.25","1",95.31,95.30740494,98,98,-2.75,-3,54.08,NA,NA,NA,NA,"South"
