pwsid,Region
110001,North
110003,North
110005,North
110006,North
110008,North
110009,North
110010,North
110011,North
410002,North
410005,North
410007,North
710001,North
710002,North
710003,North
710004,North
710006,North
710007,North
710008,North
810001,North
910001,North
910002,North
910013,North
1010001,North
1010003,North
1010007,North
1010018,North
1010021,North
1010024,North
1010027,North
1110003,North
1210004,North
1210006,North
1210009,North
1210013,North
1210016,North
1210021,North
1310001,South
1310002,South
1310004,South
1310006,South
1500333,South
1510001,North
1510003,North
1510005,North
1510006,North
1510015,North
1510017,South
1510018,South
1510019,North
1510021,North
1510022,North
1510025,North
1510029,North
1510031,North
1510041,North
1510045,North
1510049,North
1610003,North
1610005,North
1810001,North
1910001,South
1910003,South
1910004,South
1910007,South
1910011,South
1910013,South
1910017,South
1910019,South
1910024,South
1910026,South
1910027,South
1910028,South
1910030,South
1910032,South
1910033,South
1910034,South
1910036,South
1910038,South
1910041,South
1910042,South
1910043,South
1910044,South
1910047,South
1910049,South
1910052,South
1910062,South
1910063,South
1910065,South
1910067,South
1910073,South
1910077,South
1910079,South
1910083,South
1910087,South
1910090,South
1910091,South
1910096,South
1910098,South
1910102,South
1910104,South
1910105,South
1910124,South
1910125,South
1910126,South
1910130,South
1910134,South
1910140,South
1910142,South
1910143,South
1910144,South
1910146,South
1910148,South
1910152,South
1910154,South
1910155,South
1910156,South
1910157,North
1910166,South
1910167,South
1910173,South
1910179,South
1910189,South
1910191,South
1910194,South
1910200,South
1910204,South
1910213,South
1910223,South
1910225,South
1910234,South
1910239,South
1910240,South
1910245,South
1910253,South
2010002,North
2110002,North
2110003,North
2310003,North
2410005,North
2410009,North
2610001,North
2701202,North
2710009,North
2710010,North
2710011,North
2710017,North
2810003,North
2810005,North
2910003,North
3010001,South
3010002,South
3010003,South
3010004,South
3010010,South
3010017,South
3010018,South
3010022,South
3010023,South
3010027,South
3010030,South
3010035,South
3010036,South
3010037,South
3010038,South
3010041,South
3010042,South
3010046,South
3010047,South
3010053,South
3010062,South
3010064,South
3010068,South
3010069,South
3010073,South
3010079,South
3010082,South
3010094,South
3010100,South
3010101,South
3110001,North
3110004,North
3110008,North
3110010,North
3110124,North
3310002,South
3310003,South
3310005,South
3310007,South
3310008,South
3310009,South
3310012,South
3310020,South
3310021,South
3310022,South
3310031,South
3310032,South
3310038,South
3310044,South
3310049,South
3410001,North
3410002,North
3410004,North
3410006,North
3410008,North
3410009,North
3410011,North
3410014,North
3410015,North
3410016,North
3410018,North
3410020,North
3410021,North
3410023,North
3510001,North
3510003,North
3610001,South
3610003,South
3610004,South
3610008,South
3610012,South
3610013,South
3610014,South
3610015,South
3610018,South
3610019,South
3610024,South
3610025,South
3610029,South
3610034,South
3610036,South
3610037,South
3610038,South
3610043,South
3610045,South
3610049,South
3610050,South
3610052,South
3610055,South
3610057,South
3610064,South
3610073,South
3610120,South
3610121,South
3710001,South
3710002,South
3710005,South
3710006,South
3710008,South
3710010,South
3710013,South
3710014,South
3710015,South
3710016,South
3710019,South
3710020,South
3710021,South
3710023,South
3710025,South
3710026,South
3710027,South
3710029,South
3710034,South
3710042,South
3710044,South
3810011,North
3910001,North
3910004,North
3910006,North
3910011,North
3910012,North
4010001,North
4010004,North
4010007,North
4010008,North
4010009,North
4010011,North
4010014,North
4010026,North
4110001,North
4110003,North
4110006,North
4110008,North
4110009,North
4110011,North
4110013,North
4110016,North
4110017,North
4110018,North
4110021,North
4110022,North
4110023,North
4110024,North
4110025,North
4110027,North
4210001,South
4210004,South
4210006,North
4210010,South
4210011,North
4210016,North
4310001,North
4310004,North
4310005,North
4310006,North
4310007,North
4310009,North
4310011,North
4310012,North
4310014,North
4310020,North
4310022,North
4310027,North
4410010,North
4410011,North
4410013,North
4410017,North
4510005,North
4510006,North
4710011,North
4810001,North
4810002,North
4810003,North
4810004,North
4810007,North
4810008,North
4910004,North
4910006,North
4910009,North
4910012,North
4910013,North
4910014,North
4910017,North
4910018,North
5010017,North
5010018,North
5010019,North
5010028,North
5010033,North
5010038,North
5010040,North
5110002,North
5210004,North
5410002,North
5410003,North
5410010,North
5410015,North
5410041,North
5510003,North
5510009,North
5610007,South
5610009,South
5610011,South
5610014,South
5610019,South
5610023,South
5610024,South
5610040,South
5610043,South
5610046,South
5610050,South
5610059,South
5610063,South
5610080,South
5710001,North
5710003,North
5710006,North
5810001,North
5810002,North
5810003,North
